,"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog4|""Volts""|0.0|5.0|500","Analog5|""Volts""|0.0|5.0|500","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|200","AccelY|""G""|-3.0|3.0|200","AccelZ|""G""|-3.0|3.0|200","Yaw|""Deg/Sec""|-120|120|200","Pitch|""Deg/Sec""|-120|120|200","Roll|""Deg/Sec""|-120|120|200","Gsum|""G""|0.0|3.0|200","RPM|""rpm""|0|8000|500","RPM2|""rpm""|0|8000|500","GPIO1|""""|0.0|1.0|50","Latitude|Degrees|-180.0|180.0|25","Longitude|Degrees|-180.0|180.0|25","Speed|mph|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25","GPSSats|""""|0|20|25","GPSQual|""""|0|5|25","GPSDOP|""""|0.0|20.0|25"
0,217,0,1.47,1.87,,,,,,,,,0,140,,,,,,,,
1,219,0,1.45,1.87,,,,,,,,,0,140,,,,,,,,
2,221,0,1.44,1.85,,,,,,,,,0,140,,,,,,,,
3,223,0,1.41,1.86,,0.07,0.4,1.12,1.0,5.0,7.0,0.4,0,140,0.0,,,,,,,
4,225,0,1.45,1.88,,,,,,,,,0,140,,,,,,,,
5,227,0,1.45,1.86,,,,,,,,,0,140,,,,,,,,
6,229,0,1.45,1.89,,,,,,,,,0,140,,,,,,,,
7,231,0,1.44,1.86,,,,,,,,,0,140,,,,,,,,
8,233,0,1.46,1.86,,0.07,0.34,0.96,2.0,0.0,2.0,0.35,0,140,,,,,,,,
9,235,0,1.44,1.83,,,,,,,,,0,140,,,,,,,,
10,237,0,1.44,1.86,,,,,,,,,0,140,,,,,,,,
11,239,0,1.43,1.86,,,,,,,,,0,140,,,,,,,,
12,241,0,1.47,1.87,,,,,,,,,0,140,,,,,,,,
13,243,0,1.47,1.84,,0.07,0.19,0.76,2.0,0.0,0.0,0.2,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,245,0,1.47,1.89,,,,,,,,,0,140,,,,,,,,
15,247,0,1.41,1.87,,,,,,,,,0,140,,,,,,,,
16,249,0,1.42,1.84,,,,,,,,,0,140,,,,,,,,
17,251,0,1.45,1.86,,,,,,,,,0,140,,,,,,,,
18,253,0,1.43,1.87,,0.12,0.07,0.82,1.0,0.0,-4.0,0.14,0,136,,,,,,,,
19,255,0,1.44,1.88,,,,,,,,,0,136,,,,,,,,
20,257,0,1.46,1.88,,,,,,,,,0,136,,,,,,,,
21,259,0,1.45,1.88,,,,,,,,,0,136,,,,,,,,
22,261,0,1.45,1.85,,,,,,,,,0,136,,,,,,,,
23,263,0,1.41,1.83,,0.13,0.19,1.07,-3.0,6.0,-4.0,0.23,0,136,0.0,,,,,,,
24,265,0,1.45,1.87,,,,,,,,,0,136,,,,,,,,
25,267,0,1.46,1.88,,,,,,,,,0,136,,,,,,,,
26,269,0,1.44,1.86,,,,,,,,,0,136,,,,,,,,
27,271,0,1.42,1.83,,,,,,,,,0,136,,,,,,,,
28,273,0,1.45,1.86,,0.26,0.32,1.27,-1.0,6.0,-4.0,0.42,0,136,,,,,,,,
29,275,0,1.46,1.88,,,,,,,,,0,136,,,,,,,,
30,277,0,1.46,1.88,,,,,,,,,0,136,,,,,,,,
31,279,0,1.46,1.87,,,,,,,,,0,136,,,,,,,,
32,281,0,1.42,1.84,,,,,,,,,0,136,,,,,,,,
33,283,0,1.42,1.84,,0.17,0.29,1.2,1.0,2.0,-6.0,0.34,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,285,0,1.44,1.86,,,,,,,,,0,136,,,,,,,,
35,287,0,1.46,1.87,,,,,,,,,0,136,,,,,,,,
36,289,0,1.46,1.88,,,,,,,,,0,136,,,,,,,,
37,291,0,1.46,1.87,,,,,,,,,0,136,,,,,,,,
38,293,0,1.46,1.87,,0.16,0.16,1.34,2.0,9.0,-6.0,0.22,0,136,,,,,,,,
39,295,0,1.44,1.85,,,,,,,,,0,136,,,,,,,,
40,297,0,1.42,1.83,,,,,,,,,0,136,,,,,,,,
41,299,0,1.44,1.86,,,,,,,,,0,136,,,,,,,,
42,301,0,1.46,1.87,,,,,,,,,0,136,,,,,,,,
