"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"Volts"|0.0|5.0|200,"Analog2"|"Volts"|0.0|5.0|200,"Analog3"|"Volts"|0.0|5.0|200,"Analog4"|"Volts"|0.0|5.0|200,"Analog5"|"Volts"|0.0|5.0|200,"Analog6"|"Volts"|0.0|5.0|200,"Analog7"|"Volts"|0.0|5.0|200,"Analog8"|"Volts"|0.0|5.0|200,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM"|"rpm"|0|8000|500,"RPM2"|"rpm"|0|8000|500,"Latitude"|"Degrees"|-180.0|180.0|25,"Longitude"|"Degrees"|-180.0|180.0|25,"Speed"|"mph"|0.0|150.0|25,"Altitude"|"ft"|0.0|4000.0|25,"GPSSats"|""|0|20|25,"GPSQual"|""|0|5|25,"GPSDOP"|""|0.0|20.0|25
189,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
191,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
193,0,3.73,3.85,4.05,3.99,4.93,0.45,0.55,3.54,,-0.03,0.03,0.91,0,-0,0,0.04,1680,0,,,,,,,
195,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
197,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
199,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
201,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
203,0,3.7,3.81,4.06,3.96,4.92,0.46,0.55,3.59,,0.0,0.04,1.05,0,0,-0,0.04,1680,0,0.0,0.0,0.0,0.0,0,0,0.0
205,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
207,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
209,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
211,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
213,0,3.72,3.82,4.03,3.98,4.92,0.4,0.53,3.61,,-0.03,0.01,0.95,0,0,0,0.03,1680,0,,,,,,,
215,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
217,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
219,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
221,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
223,0,3.74,3.8,4.05,3.9,4.93,0.41,0.5,3.53,,-0.05,0.01,1.0,0,-1,-0,0.05,1620,0,,,,,,,
225,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
227,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
229,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
231,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
233,0,3.7,3.8,4.0,3.94,4.88,0.46,0.51,3.56,,-0.02,0.01,0.99,0,2,-0,0.02,1620,0,,,,,,,
235,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
237,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
239,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
241,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
243,0,3.73,3.84,4.04,3.99,4.94,0.45,0.5,3.6,,0.0,0.02,1.01,0,-1,-1,0.02,1620,0,0.0,0.0,0.0,0.0,0,0,0.0
245,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
247,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
249,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,
251,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
253,0,3.71,3.81,4.02,3.97,4.92,0.45,0.46,3.57,,-0.04,0.01,1.03,0,3,-1,0.04,1680,0,,,,,,,
255,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
257,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
259,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
261,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
263,0,3.7,3.81,4.01,3.97,4.91,0.44,0.48,3.58,,-0.05,0.03,0.94,0,-2,-0,0.05,1680,0,,,,,,,
265,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
267,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,
