Unnamed: 0,"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog4|""Volts""|0.0|5.0|500","Analog5|""Volts""|0.0|5.0|500","Battery|""Volts""|0.0|20.0|1","AccelX|G|-3.0|3.0|200","AccelY|G|-3.0|3.0|200","AccelZ|G|-3.0|3.0|200","Yaw|Deg/Sec|-120|120|200","Pitch|Deg/Sec|-120|120|200","Roll|Deg/Sec|-120|120|200","Gsum|""G""|0.0|3.0|200","RPM|""rpm""|0|8000|500","RPM2|""rpm""|0|8000|500","GPIO1|""""|0.0|1.0|50",Latitude|Degrees|-180.0|180.0|25,Longitude|Degrees|-180.0|180.0|25,"Speed|mph|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25","GPSSats|""""|0|20|25","GPSQual|""""|0|5|25","GPSDOP|""""|0.0|20.0|25"
13,243,0,1.47,1.84,,0.07,0.19,0.76,2.0,0.0,0.0,0.2,0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,283,0,1.42,1.84,,0.17,0.29,1.2,1.0,2.0,-6.0,0.34,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,323,0,1.46,1.88,,-0.04,-0.04,0.78,3.0,1.0,-10.0,0.06,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,363,0,1.42,1.86,,0.07,0.03,0.53,2.0,-10.0,-5.0,0.07,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,403,0,1.45,1.88,,0.28,-0.01,1.32,1.0,-1.0,1.0,0.28,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,443,0,1.44,1.85,,0.04,-0.1,1.25,1.0,10.0,9.0,0.1,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,483,0,1.46,1.88,,0.07,0.01,0.89,-2.0,-8.0,13.0,0.07,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,523,0,1.46,1.88,,0.01,0.3,0.99,1.0,-2.0,3.0,0.3,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,563,0,1.46,1.87,,0.07,0.35,1.28,0.0,-3.0,-11.0,0.35,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,603,0,1.43,1.85,,0.07,-0.14,0.66,0.0,-7.0,-18.0,0.15,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,643,0,1.44,1.87,,0.13,-0.34,0.78,0.0,-2.0,-1.0,0.36,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,683,0,1.41,1.83,,0.1,0.12,1.23,4.0,-4.0,3.0,0.16,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,723,0,1.45,1.86,,0.1,-0.12,1.27,2.0,-2.0,1.0,0.16,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,763,0,1.46,1.87,,0.02,0.07,1.19,1.0,9.0,9.0,0.08,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,803,0,1.44,1.88,,-0.16,0.03,0.37,-1.0,-4.0,3.0,0.17,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,843,0,1.41,1.84,,0.08,0.09,0.69,1.0,-4.0,0.0,0.12,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,883,0,1.44,1.89,,0.26,0.17,1.25,2.0,-3.0,0.0,0.3,0,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,923,0,1.44,1.87,,0.16,-0.14,1.27,3.0,4.0,4.0,0.21,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,963,0,1.46,1.89,,-0.09,-0.06,1.07,5.0,11.0,9.0,0.1,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,1003,0,1.48,1.9,,-0.18,0.18,0.86,4.0,5.0,-1.0,0.25,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,1043,0,1.46,1.88,13.15,-0.06,0.02,0.88,4.0,-4.0,0.0,0.07,0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,1083,0,1.46,1.89,,0.14,0.01,1.17,2.0,-9.0,0.0,0.14,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
