,Interval|ms|0|0|1,Utc|ms|0|0|1,Analog1|Volts|0.0|5.0|200,Analog2|Volts|0.0|5.0|200,Analog3|Volts|0.0|5.0|200,Analog4|Volts|0.0|5.0|200,Analog5|Volts|0.0|5.0|200,Analog6|Volts|0.0|5.0|200,Analog7|Volts|0.0|5.0|200,Analog8|Volts|0.0|5.0|200,Battery|Volts|0.0|20.0|1,AccelX|G|-3.0|3.0|200,AccelY|G|-3.0|3.0|200,AccelZ|G|-3.0|3.0|200,Yaw|Deg/Sec|-120|120|200,Pitch|Deg/Sec|-120|120|200,Roll|Deg/Sec|-120|120|200,Gsum|G|0.0|3.0|200,RPM|rpm|0|8000|500,RPM2|rpm|0|8000|500,Latitude|Degrees|-180.0|180.0|25,Longitude|Degrees|-180.0|180.0|25,Speed|mph|0.0|150.0|25,Altitude|ft|0.0|4000.0|25,GPSSats||0|20|25,GPSQual||0|5|25,GPSDOP||0.0|20.0|25,Euler Roll,Euler Pitch,Euler Yaw
0,189,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
1,191,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
2,193,0,3.73,3.85,4.05,3.99,4.93,0.45,0.55,3.54,,-0.03,0.03,0.91,0.0,0.0,0.0,0.04,1680,0,,,,,,,,0.18808501958847046,0.18808400630950928,0.0
3,195,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
4,197,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
5,199,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
6,201,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
7,203,0,3.7,3.81,4.06,3.96,4.92,0.46,0.55,3.59,,0.0,0.04,1.05,0.0,0.0,0.0,0.04,1680,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38613876700401306,0.1694050431251526,-5.2110434023422414e-11
8,205,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
9,207,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
10,209,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
11,211,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
12,213,0,3.72,3.82,4.03,3.98,4.92,0.4,0.53,3.61,,-0.03,0.01,0.95,0.0,0.0,0.0,0.03,1680,0,,,,,,,,0.4076175093650818,0.3317490518093109,-1.0422215868111095e-10
13,215,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
14,217,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
15,219,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
16,221,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
17,223,0,3.74,3.8,4.05,3.9,4.93,0.41,0.5,3.53,,-0.05,0.01,1.0,0.0,-1.0,0.0,0.05,1620,0,,,,,,,,0.4239199757575989,0.5715140104293823,0.0
18,225,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
19,227,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
20,229,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
21,231,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
22,233,0,3.7,3.8,4.0,3.94,4.88,0.46,0.51,3.56,,-0.02,0.01,0.99,0.0,2.0,0.0,0.02,1620,0,,,,,,,,0.43915483355522156,0.649161159992218,0.0
23,235,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
24,237,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
25,239,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
26,241,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
27,243,0,3.73,3.84,4.04,3.99,4.94,0.45,0.5,3.6,,0.0,0.02,1.01,0.0,-1.0,-1.0,0.02,1620,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5072545409202576,0.5755670070648193,6.253539908129824e-10
28,245,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
29,247,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
30,249,0,,,,,,,,,,,,,,,,,1620,0,,,,,,,,,,
31,251,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
32,253,0,3.71,3.81,4.02,3.97,4.92,0.45,0.46,3.57,,-0.04,0.01,1.03,0.0,3.0,-1.0,0.04,1680,0,,,,,,,,0.5119284391403198,0.7668075561523438,-1.2507569424613507e-09
33,255,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
34,257,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
35,259,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
36,261,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
37,263,0,3.7,3.81,4.01,3.97,4.91,0.44,0.48,3.58,,-0.05,0.03,0.94,0.0,-2.0,0.0,0.05,1680,0,,,,,,,,0.6400213837623596,0.9686429500579834,0.0
38,265,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
39,267,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
40,269,0,,,,,,,,,,,,,,,,,1680,0,,,,,,,,,,
