"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog1|""""|0|5|100","Analog2|""""|0|5|50","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|50","AccelY|""G""|-3.0|3.0|50","AccelZ|""G""|-3.0|3.0|50","Yaw|""Deg/Sec""|-120|120|50","Pitch|""Deg/Sec""|-120|120|50","Roll|""Deg/Sec""|-120|120|50","Gsum|""G""|0.0|3.0|50","RPM1|""rpm""|0.0|1000000.0|1000","Latitude|""Degrees""|-180.0|180.0|25","Longitude|""Degrees""|-180.0|180.0|25","Speed|""mph""|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25"
2527883,1.70215E+12,0,0,,-0.19,0,0.72,-3,-3,-16,0.19,5,39.674294,-77.417427,10.82,1100.7
2527923,1.70215E+12,0,0,,-0.01,-0.45,0.75,0,-5,7,0.45,5,39.674294,-77.417427,10.83,1100.7
2527963,1.70215E+12,0,0,,0.05,-0.29,0.68,1,-12,25,0.3,5,39.674297,-77.417427,10.92,1100.6
2528003,1.70215E+12,0,0,,0.18,0.33,1.12,4,-14,14,0.38,5,39.674297,-77.417427,10.88,1100.6
2528043,1.70215E+12,0,0,12.83,0.17,0.2,1.62,2,-2,4,0.26,5,39.674301,-77.417427,11.02,1100.5
2528083,1.70215E+12,0,0,,0.29,0.37,1.62,0,10,-14,0.47,5,39.674301,-77.417427,11.38,1100.5
2528203,1.70215E+12,0,0,,0.27,-0.36,0.8,15,-9,7,0.45,5,39.674309,-77.417427,10.26,1100.3
2528243,1.70215E+12,0,1,,0.1,0.01,1.39,17,-4,-1,0.1,5,39.674313,-77.417427,10.79,1100.2
2528283,1.70215E+12,0,0,,0.34,-0.14,1.29,18,10,-10,0.37,5,39.674313,-77.417427,10.76,1100.2
2528323,1.70215E+12,0,0,,0.05,-0.26,0.48,20,10,5,0.27,5,39.674313,-77.417427,10.7,1100.1
2528363,1.70215E+12,0,0,,0.08,-0.2,0.61,21,1,24,0.22,5,39.674313,-77.417427,10.31,1100.1
2528403,1.70215E+12,0,0,,0.01,0.27,1.18,19,-15,5,0.27,5,39.674316,-77.417427,10.54,1100
2528443,1.70215E+12,0,0,,-0.01,0.65,0.76,14,-23,-26,0.65,4,39.674316,-77.417427,10.65,1099.9
2528483,1.70215E+12,0,0,,0.17,-0.1,1.66,12,-19,-7,0.2,4,39.67432,-77.417427,11.11,1099.8
2528523,1.70215E+12,0,0,,0.19,-0.02,1.44,11,-4,16,0.19,4,39.67432,-77.417427,11.38,1099.8
2528563,1.70215E+12,0,0,,-0.07,-0.05,0.95,10,8,9,0.08,4,39.674324,-77.417427,11.03,1099.7
2528603,1.70215E+12,0,0,,0.1,0.06,0.45,9,2,2,0.11,4,39.674328,-77.417419,10.8,1099.6
2528643,1.70215E+12,0,0,,0.18,0.05,0.86,10,-5,-2,0.19,4,39.674328,-77.417419,10.83,1099.5
2528683,1.70215E+12,0,1,,0.19,-0.14,1.17,9,-4,9,0.23,4,39.674332,-77.417419,10.8,1099.5
2528723,1.70215E+12,0,1,,-0.07,-0.02,1.14,5,3,9,0.07,4,39.674332,-77.417419,11.01,1099.4
